number,review
11,"I hate that I didn't love my meal here. I got the puffy chicken tinga tacos because my favorite puffy chicken tinga tacos. just a few doors down from Tyson's are no longer on the menu. That's cool. They were only one of my favorite meals in Austin...<br/><br/>Anyway, to try to move on from this loss I've been on the hunt for some puffy chicken tinga tacos, and I saw than Vamanos has them on Tuesdays. I was so excited: great reviews for the restaurant and still close by. I tried them two days ago. Quite disappointing. The tinga had little flavor and tasted almost old. The puffy tacos were also lackluster themselves. I would give two stars, but maybe the seven minute drive to my place did the puffy tacos in. Although, it was never an issue with Tyson's...<br/><br/>Maybe it's just this dish, but I doubt I'll head back anytime soon."
12,Great margaritas and the best queso in town. What more do you need? Vamonos now................
13,"Great spot to check out for some Tex-mex and margaritas!<br/><br/>The nachos turned out amazing, each chip equally as loaded as the others, ample amount of bean &amp; cheese on each! The quesadillas were also a good pick, simple but predictably good!<br/><br/>Started with a regular frozen margarita and went for a frozen prickly pear for Rd 2. Both are great, would definitely recommend the frozen over the rocks margarita. Super refreshing on both and great for the upcoming summer days."
14,"I don't know Vamonos why never caught my attention before. Maybe I thought it was just another taco stand. It came up when I was trying to find tex-mex restaurants with patios, to take advantage of the spring weather that's finally here. We ordered some tacos and enchiladas, tortilla soup, salad, and corn. The beef on the tacos was outstanding! Chicken tortilla soup was generous on the toppings. Sauces and salsa were mild, which I appreciate. Everything else was average. The corn wasn't worth getting again. All-in-all, I've got another place to add to my list of favorites."
15,"I'm obsessed with their school style taco salad. It's everything with crunch and freshness from the lettuce and tomatoes, salty umami from the ground beef, tang from the salsa, sweetness from the corn, earthiness from the radishes, and a touch of creaminess. Pair it with a prickly pear margarita and it hit all the notes on a sunny afternoon."
16,"I went to Vamonos with a big group on a weekday during lunch. They have two decent sized parking lots on either side.<br/><br/>The free chips and salsa was a great starter and decently spicy as well. The wait times in between ordering and getting the food was quite long (we spend 1.5 hours there). I got the veggie enchilada with salsa verde. The portion sizes were huge and very filling, though the veggies were a bit bland."
17,Beautiful food in a beautiful space. Family friendly. Great drinks and food. Ambiance is 100% perfect South Texas so great place to take anybody visiting from out of town.
18,"I would give this place a 2.5 if that was an option. The food is ok, the frozen margarita was good, the service was ok, however, see picture for an idea of portions- I ordered the Tacos Al Pastor and got three tacos with one small spoonful of the meat on each, with a side of rice and beans, and I paid $14 for that. The tacos were pretty standard, nothing special. And the day I went, the chips seemed maybe a bit stale, something was off. Overall, I wouldn't recommend this place, except maybe to get one margarita during happy hour, but outside of happy hour, they are $10 for a fairly small cup, so again, not the best value. For similar price but better portion sizes and food taste, try El Chile on Manor."
19,"RIPOFF ALERT!!!<br/><br/>What a surprise delivered to us at the end of the meal (after waiting over 15 minutes to get the check after I asked for it).  In addition to a bogus 1.5% ""Wellness Fee"", they'd tacked on a 20% MANDATORY tip, AFTER tax (I don't recall the tax man providing any service) and ""Welllness Fee"".  My wife and I were there with my son, his wife and their two small children.  It wasn't even a big party of people.  NOWHERE in the restaurant-not on the menu, not on any signs, NOWHERE was their anything to alert us to this ""policy"".<br/><br/>Anyway, the food was average and overpriced.  The waitress was nice but spilled a glass of water all over our table and then disappeared for 15 minutes after I asked for the check.<br/><br/>There are SO MANY better options for Tex-Mex than this place.  We won't be back and advise other Yelpers to watch out for the Vamonos RIP-OFF.<br/><br/>To them I say, Adios!"
20,really below average Mexican food. Enchiladas were probably the worst enchiladas I've ever had. Fajitas were average. Waiting staff was really sweet but food was just too bad. Wont go back again.
21,It's pretty dang good and consistent. <br/>Outside patio is amazing and fun for a cute little casual date night<br/>Salsa is amazing and recommend the chicken enchiladas with creama problano sauce (spelling obviously incorrect lol)
22,Vamonos is one of my go to place for Tex-Mex. They have both covered patio seating and indoor seating with plenty of options for different party sizes. The blue and pink theme is super cute and definitely adds to the ambience. The complimentary chips and salsa is one of the best I've ever had. The salsa is smoky and rich without the normal acidity from other tomato salsas. I usually order the Pablito's platter. It's definitely enough food to fill me up especially with the family style beans and rice that comes with it. The only reason why I'm docking a star is because in my experience service is a little slow.
23,"This restaurant reminds me of one you would find in Mexico, the decor, service, food-cutlery and even the coffee mugs. We LOVED the food!!!! What I appreciate most about this place is the small details like the paper bag with a stamp of Vamanos on the chip bags and the bill holder complete with a slot for your credit card. We had multiple Salsa, extra  chips, queso, elotes, enchiladas- everything we ate was on point!!"
24,"The puffy tacos are like mana from Heaven. On Taco  Tuesday's you get your choice of chicken or picadillo filled tacos plus rice and beans. The picadillo tacos are incredible. It starts with the homemade puffy corn tortilla and then just builds from there with perfectly spiced beef, fresh lettuce, tomatoes and shaved jack cheese. Awesome flavors. <br/><br/>The ranch queso is also a must. One of the best quesos I ever tasted. <br/><br/>Service was prompt and friendly!"
25,"Great spot that flies under the radar. It was a perfect spot with friends on a Friday night. Casual atmosphere but still lots of fun without being a big restaurant. The enchiladas and steak tacos are fantastic, guacamole is delish as is the queso. Great virgin margs for those that Donny drink and regular margaritas for those that do. Kind staff. We loved it!"
26,Margaritas and food were delicious! Service was friendly and fast and serving sizes were large. Would recommend and we'll be back!
27,"Taco Tuesday, need I say more.  <br/>But, Puffy taco Tuesday makes it the best Taco Tuesday in town!<br/><br/>These puffy tacos remind me of San Antonio style Mexican food.  And these tacos were filled to the brim with Piccadillo.  <br/><br/>My husband had the grilled fish fillet.  It had a good Oak smoke.  It was really-really good!   In fact, I gave him a puffy taco in exchange for some of his fish, like a buffet! <br/><br/>Dogs are allowed on the patio, the reason why we dined here."
28,This is by far one of the best Mexican restaurants I've been to lately. Their queso blanco is rich and buttery! The salsa is amazing. I ordered the enchiladas with pablano crema sauce and I am hooked!
29,"While in desperate search for some white queso in Austin, we came upon Vamonos. And glad we did!<br/><br/>We arrived on a Friday night &amp; were seated immediately on the patio. Our first stop was the queso, of course. It was a $10 queso, but it lasted the 2 of us through 2 chip bags (intermittent with their special somewhat smoky salsa, which was delightful).<br/><br/>One note, our waitress was the STAR of the show - she was SO nice to us, recommended her favorite menu item (which was AMAZING), and even gave us some tips for our next visit.<br/><br/>The food:<br/>Pros: Chicken enchiladas with poblano sauce - the BEST. White queso was actually white queso (which is what we've been trying to find), salsa was different and great<br/><br/>Cons: soda refills are not free (but our waitress very politely let us know before we ordered more), the beans a little soupy, the queso was a little overwhelmed with peppers/pepper flavor"
30,"We love the food, cocktail's, employees very kind, nice music and environment.... And the best of us the opportunity to be in a nice patio having the company of our dogs. Very well recommended Vamonos!!"
31,"Its nice to walk into a joint and know whats coming. Service is always above and beyond. Food is always fresh and hot. We both have our set dishes these days. Wife with Beef Chiladas, double Rice....Mine is the Pablitos Plate with Chicken Chilada with Poblano Sauce and a Red Fish Taco...and in my opinion....Best in Town. I switch up between Charro and Refried....both are excellent. Rice is always good. And this round I added the Elotes which was outstanding. I always recommend Vamonos when people ask where to get great Tex-mex food. The consistency of the food and the service is what keeps us coming back."
32,"I stopped by Vamono's because I saw the good reviews on Yelp. The food was okay, but the portions are very small and the price is high. I also saw on my ticket that we were charged a ""wellness fee.""<br/>I'm not sure how this place has 4 1/2 stars on Yelp."
33,Wow! It didn't get much better than this. We were looking for somewhere we haven't tried and also kind of fast for lunch. Vamonos was amazing! I had the taco enchilada combination with verde. My wife had the cheese enchiladas with rojo. Also you have to get the queso with all the toppings. One of the best white quesos we have ever had.  We are totally coming back with our kids.  Highly recommend!
34,"From the restaurant group that brought you Backspace, Olive &amp; June, and Parkside brings you a tex-mex concept with ¡Vamonos! that takes inspiration from ranches across Texas where vaqueros and cowboys sat down together, sharing a table and a hot meal off a wood burning grill to bring you simple food done well. I got:<br/><br/>- The Skirt Steak: great flavor of the steak. It comes from 44 Farms, so you know it's high quality. They also grill the steak over oak and wow! I love that. The wood flavor with the rich chewy meat made for a fun dish to have and my favorite dish here!<br/><br/>- Chicken Enchiladas: this comes filled with shredded chicken and topped with Oaxaca and jack cheese, poblano cream, and green salsa. A classic tex-mex dish, can't go wrong here.<br/><br/>- Nachos Ignacio: they house-make their own crispy tortilla bases, top them off with beans, Oaxaca and jack cheese, pickled jalapeño, and picadillo (beef). These were a fun snack to munch on before the meals came out.<br/><br/>- Ranch Style Queso Blanco: white American cheese, poblano peppers, piccadilly beef, guacamole all come together to bring you a light, yet flavorful queso that'll have you wanting more.<br/><br/>- Elotes: Mexican street corn with chili power, mayo, lime, queso fresco, cream - this is a classic must-have. Great creamy flavor.<br/><br/>- Agua Fresca: my favorite drink. It's simple: water, lime, sugar. Great, refreshing way to compliment the meal.<br/><br/>All in all, I had a great time here. Inside there's vibrant, bright decor and they have an outdoor shaded patio. They play classic cumbia music that reminds me of childhood when my mom always played this music on the radio. I give them an 4/5 for being great."
35,"We tried this place out, and it was fantastic! I love the atmosphere and the enchiladas were fantastic. My gf had a margarita on the rocks and she was impressed with the drinks as well. We will definitely come back again soon."
36,"I have to say, for suck a small place their food is outstanding! I had the ranch tacos and they were the bomb! I can't wait to go back and try the others! Just be patient if their busy, it's worth the wait!"
37,Great place! I went for happy hour with my sister and boyfriend and enjoyed the frozen margaritas. Our server even brought us tasters of the seasonal drink they had (a guava frozen margarita). The salsa selection was very impressive and spanned the range of super spicy green salsa to smoky chipotle salsa. I enjoyed the skirt steak and had plenty of food -- I took some home!
38,"I don't know what took me so long to try all the delish bites at Vamonos but better late than never right? <br/><br/>We had the chicken enchiladas, fish tacos and the prickly pear margaritas and I'd highly recommend any and all of those! The poblano cream sauce on the enchiladas is to die for and I'd bathe in it if I could. <br/><br/>The prickly pear margaritas are frozen and a must. Like order one tonight! I don't care if it's cold outside lol. They're craveable and one of the best frozen margaritas I've had!"
39,The worse Mexican food I've ever had in  my life. Horrible service. Many dirty tables.  It was disgusting felt like i just got robbed of my $60.00 want a refund. I was a professional chef for 15 years this place was short staffed or no one cares. All Sysco ingredients just terrible. Who serves corn tortillas for tacos right out of the package cold? Absolutely terrible.
40,"I have no idea what's going on with this place. The menu is priced pretty high, which wouldn't be an issue if I had any inkling that I should eat here.<br/><br/>The chips are stale, the salsa that they bring out is odd, I dare say awful.  They ask if you'd like the ""spicy"" salsas, which I obviously did.  When they brought them out, the three ""spicy"" salsas are not. The ""habanero"" salsa is basically frozen, and has no significant spice at all.  The tomatillo salsa is plain, but the best offering.  The third salsa, morita, is also very bland, not smoky or spicy.<br/><br/>I'll save myself the $15 before finding out the enchiladas, etc suck. <a href=""mailto:onebadwagon@gmail.com"">onebadwagon@gmail.com</a>"
41,"We enjoyed our food, the atmosphere, and the service here. Get the elotes if you like corn, this was our favorite!"
42,"Love this place- everything we've had on multiple trips has been amazing, and service is generally good!  Food and drinks are delicious and reasonably priced!"
43,"Absolutely amazing!! The service is amazing, Serena the manager was absolutely wonderful. The waitress was incredible. Everyone was so kind and attentive.<br/><br/>Now, THE FOOD??? First, I am hispanic. I am also from Dallas- born and raised. Mexican food is quite literally me. It's my first mexican restaurant since living out here in austin (been suspicious) and let me tell you- the FOOD?????? Was absolutely incredible. Every bite felt like my first bite. I had a prickly pear &amp; Mexican Margaritas- both splendid. Their Queso??? Thick and beautiful in every possible way."
44,"I really loved their customer service my waiter was super polite and awesome I had two actually and I loved their queso and their charro beans. We ordered the Don Pedro, Pelon burrito, and the Pablo plate. They were good. Also u need to try the pepino con chile drink"
45,Very average. Only 2 people were serving. Did not really speak English! Guacamole was bland and average. Margaritas were horrible. Too much line and could not taste tequila. Enchiladas were also cold inside. Very sad place and hate to say that Papasitos walks all over this place.
46,"Perhaps I should have given Vamonos! Four stars instead of three as there are lots of positives here, but I'm disappointed at the moment.  <br/>My friends and I go to lunch every Tuesday and sometimes we like to try new places. This week we decided Vamonos!<br/>The restaurant is an unassuming building at 4807 Airport Boulevard. There was plenty of parking (a real plus in Austin) and the door to the building opens into a spacious patio area that's really comfortable at this time of year.<br/>Once we were all gathered, the waitress brought chips in paper bags (easy to recycle- the chips weren't greasy!) and  three types of hot sauce, one for every palette. The hottest sauce it's chopped jalapeño with just the right amount of burn.<br/>Three of ordered tea, which tasted freshly made, plus for an Austin restaurant. When we ordered food, we each got something different,  and each of us was pleased with our lunch- we shared a little bit around the table.<br/>However, when the bill came we had been charged for dinner prices instead of lunch prices. I searched on the web for the menu and the enchiladas we got should have been $11 (lunch price) but we were charged $13 (dinner price).  I looked at the house menu and found the same prices posted.I showed this to the waitress and she went away for a while and then came back and said that the kitchen staff had fixed the plates with three enchiladas instead of two enchiladas, which is the difference between the lunch and dinner platters. She did not offer to change the price. <br/>I understand that patrons have some responsibility when ordering, but it seems traditional when patrons are ordering at lunch time  for the person taking the order to verify whether patrons are asking for the lunch or dinner option. All of us were disappointed in this miscommunication .<br/>The positives of this restaurant are location! Location! Location! and the staff and owner are very cordial. The space is bright and clean, even in the bathrooms, a definite plus.<br/>This would have been an excellent experience if it hadn't been for the miscommunication and overcharge on our meals. <br/>I don't know that we will go back for lunch, and if we do we will Make sure before the order gets to the kitchen that the wait staff has our taken our order correctly."
47,Just waited 45 minutes - no one cleared our table or brought a bag of chips <br/><br/>Not trying to be a jerk and I know they were understaffed tonite - but in between dropping off checks and picking up slips  they coulda put some chips on the table to keep us happy <br/><br/>Seems odd to schedule an event like spirit night and not be prepared ...but any number of things could have resulted in this situation. So I will definitely be back BUT my suggestion is to develop a plan that stops paying customers from walking away and leaving one star reviews ;)
48,"Great food, drinks, and a fun atmosphere. Also a very nice patio outside. Best queso in Austin."
49,"The staff was very nice but the food was just so so. The elote was different from every other one I've ever had but not in a good way. I got the chicken, fish and shrimp tacos and wasn't exactly impressed by any of them. I'd try somewhere new before going back here but wouldn't be opposed to trying something different from their menu."
50,"I'm a San Antonian who moved to Austin some years ago and am still looking for San Antonio style Mexican food in Austin. My daughter and I decided to try this place. It was a very pleasant environment, we sat on the patio to enjoy the cool weather outside. Our server was also very pleasant. She was prompt to bring chips and salsa, menus, and get out drink order. It was once we tasted the food and drinks that it was easily disappointing. The salsa looked good and had a little pepper to it but way under salted. Very bland. The drinks came and they were equally disappointing. If there was any alcohol in the margaritas, it didn't make it into either glass (and we had different flavored margaritas.)<br/>I had the chicken enchiladas with the verde sauce and they were pretty tasty. The refried beans and rice were served separately, for the table, and while also a little bland, were still good. Unfortunately, the underwhelming salsa and drinks had already left their mark.<br/>If you're looking for something new, it's worth stopping in, just don't expect it to be more than it is."
51,"Small portions, big prices. It was definitely not the best texmex I've had in town. But it was conveniently located at the time we were hungry."
52,Was in the neighborhood and had no idea where to eat. We chose Vamonos by chance. I had the Ranch Taco with Carnitas and my friend had the Tacos el pastor. Our food was a amazing and the restaurant was very cute. I have already told three friends that they have to visit and try their tacos.
53,"This place is really good! I'm super impressed with the redfish! I had a redfish taco and shrimp enchilada (the pabloito plate) was delicious. The margaritas are strong and tasty. It was my friends birthday and they took care of her drink and gave us a free dessert, which was a giant sopapillo! So good!  Remy,our server, was working hard, busy, but still tended to us in a timely manner."
54,"Solid Tex-Mex place, the enchiladas are really good, pastor is also good and they have horchata. Won't blow your socks off but is a nice enough place, well located and with parking, so is worth a shot if you have a craving. Portions are not small but definitely not Texas sized."
55,"Wow, was i surprised at how awesome the food and service is at Vamonos.  One saturday afternoon my wife and I decided to have an early dinner and we wanted to try a new place we hadn't been to so of course we opened our trusty Yelp app and Vamonos was our pick.  <br/>Upon arrival we were happily greeted and seated by Pena who was also our waiter.  They have inside and outside seating on a little patio, not to big but not to small either. <br/>Pena let us know that they just started happy hour and they do happy hour every day from 4-6pm.  We decided to step out of our norm and try a couple cocktails Pena recommended, the Prickly Pear Margarita and the El Camino. My wife absolutely loved the prickly pear marg!  The El Camino was good as well, the flavors of the mezcal and Benedictine came together and make a really nice cocktail.<br/>Everything on the menu sounded so good so we relied on Pena once again for recommendations. We wanted to try a little bit of everything so Pena recommended we ordered the Ven Pescar plate and Pablo's Plato.  Pablo's Plato come with 2 enchiladas and 2 taco, so we got 1 chicken enchilada and 1 beef,  and 1 steak taco and 1 carnitas taco.  The Ven Pescar comes with 3 tacos with grilled redfish or shrimp.  This way we could try several different tacos and a couple of the enchiladas.  Wow the food and flavors were awesome.  <br/>Pena told us one of the things that makes their food a little different is their meats are cooked on a wood burning grill. If you are familiar with grilling then you know charcoal, wood, and gas all give meat a different flavor and i prefer the wood grilling.<br/>Pro tip1 -  If you like salsa be sure to ask them for their salsas, they have 4 different kinds and they are all really good. <br/>Pro tip2 - If you like tequilas they have an awesome selection, i highly recommend trying something new.<br/>All in all Vamonos was a homerun for us.  We enjoyed the food, drinks, atmosphere, and service.  When you come i would recommend my man Pena he was awesome.  He took the time to really go the extra mile and tell us about the drinks and how flavors are paired with the food, and how they were made, etc..."
56,"Love this place it still has that true Austin vibe! Food was so good, fresh, and flavorful. The margarita was insanely wonderful! The service was also lovely. We sat on the patio and was pleasantly surprised how laid back and comfortable it was. All of the staff were extremely friendly and kind. We will definitely be back, the patio alone sold me! Really good vibes!"
57,Drove all the way from Round Rock because of the good reviews *and* hours and it's closed.  Super tired of businesses not taking the time to update their hours on search platforms.
58,"Omg! The food was delicious  I thought it was going to be really tex mex, but it still has that authentic Mexican flavor, and the drinks were bomb. Plus, they have a really good playlist. I want to get up and dance. They should have a dance floor, lol."
59,Pretty pricey and smaller quantities than what we are used to. They advertise their free chips and salsa and I guess that's important considering they serve small family-style beans and rice. I was hoping for a low carb choice and ordered the Caesar salad. The rest of the group ordered enchiladas. My husband is an enchilada expert and says theirs are 4.5 out of 5. The rice and beans were so so.
60,"This place is amazing!!! I honestly don't know why it isn't more busy, the environment is so trendy and cute and the food is delicious!! The employees were extremely friendly and we got our food quickly. I definitely recommend the ranch queso, it was to die for!!!"
61,"This is such a cool vibe of a place. It has outdoor, covered seating and indoor dining. It feels like walking into a café with attentive staff and a very cultural ambiance - bright colors, upbeat music and greetings of all smiles. The food presentation is beautiful. Unfortunately, that's where the positives pause. The food is overly seasoned and it's difficult to taste all that is going on. There's an imbalance of flavors that just leave some flavors (chili powder) overpowering all of the others. The slaw mix inside tastes somewhat spoiled, though it appeared fresh. The seasoning just didn't  work for my palate. I was quite hopeful for this spot and left disappointed. Everyone was super friendly - even brought the food out to our car so we didn't have to wait inside. They get two stars for the warm and friendly service. I wish the taste of the food matched. It fell way short for me."
62,"Great spot! Delicious enchiladas for lunch this afternoon, and it's a decent spot for rambunctious kids (my guy is 4). It was cold today but there is a good sized screened patio so seems like an excellent place on a nice day too! Will definitely be coming back."
63,I love Vamonos!! The food is so yummy. Especially the enchiladas with the poblano cream sauce. The ranch water was delicious. The staff is so helpful and friendly. I highly recommend!
64,"Vamanos is fantastic! We love the food, drinks, and overall vibes!! Every employee is kind and does a great job. We've only had one issue when we ordered Nachos but 20 minutes or so later were asked if we wanted to order anything... the server hadn't ""heard"" us, but it was getting busy so she likely forgot. We didn't care because we weren't in a rush so it wasn't an issue. <br/><br/>They social distance fantastically, the restrooms are always clean, and the music is always on point! If you haven't stopped by for happy hour -- you should! We drive all the way from Pflugerville because we love it every time!  Highly recommend the Prickly Pear Margarita with a Pineapple Floater. So yum!"
65,"Vamanos always performs! Food is fresh, creative and tasty. Starting off with chips and salsa that was well seasoned! Portions are nice but not large. Presentation superb and tasty!"
66,"The food was decent but not as amazing as the reviews suggest. The chips were lacking and somewhat stale. Salsa was enjoyable  but not spicy at all- mostly tasted like tomatoes. The queso was good, but nothing special. I ordered the Don Pedro to share with my partner. The sautéed veggies were on point along with the Chile toreado. The steak was salty but in my opinion not flavorful and a tad bit overcooked. I was expecting a lot better but left thinking it was overhyped and mediocre at best. We went on a Sunday evening when it was crazy busy, but our server did a great job despite the chaos."
67,I'm upset that I just found out about this place. The atmosphere when you walk in is so inviting. I sat inside but when the weather is nice the patio looks amazing.
68,"We had the skirt steak, elotes, queso, and enchiladas and everything was perfection! Frozen margaritas were the perfect consistency and flavor - and just sweet enough. The manager even went out of their way to give us margarita taste testers and a free queso coupon for next time because of a rowdy/slightly belligerent table next to us. Can't wait to come back! This place is a gem."
69,"Awesome place! Food was yummy! We had the taco salad and chilaquiles. The salsa is amazing! It was very fresh with lots of veggies, had a kick but that didn't linger. I enjoyed it so much I ordered extra and added it all over my salad :) Super friendly and attentive staff. Our server was named Laura and she was so nice. She let us rattle off all of our special instructions for our orders (we are dairy and gluten free so we may come off as a pain in the butt to some). She just smiled and assured us it was all good. Food came out perfect and delicious! Sorry we didn't take pictures but it was too good to wait!!!<br/><br/>We're moving soon and considering this neighborhood. If we do land here, we'll for sure be back!"
70,"Amaaazing. Surpassed our expectations by far. We got the chicken enchiladas, esquites (corn), beef enchiladas, guac and chips. It was all fantastic. The rice and beans were so good we have taken note to order extra next time. Because oh boy there will definitely be next times. <br/><br/>Loved their online ordering system and their curbside pickup experience - super easy to use and no surprises. We got a ton of food and honestly we planned on leftovers but ended up devouring basically everything we ordered. <br/><br/>I will say that the food was not very spicy and we like spicy. So next time we order we will ask if there are any spicy salsas or sauces available. And the chips were so fresh and amazing when we got them but they became stale overnight in a sealed bag so you have no reason to  leave leftovers!"
71,"Amazing! Good service, great food, awesome atmosphere! Absolutely recommend and will be coming back."
72,Their food is fire. One of the best Tex mex places in Austin. Amazing white cheese queso and the Pablo's plate is my personal go-to dish with the redfish tacos and beef enchiladas you cannot go wrong. The staff is always nice and helpful too. Glad this place has been under the radar and I hope it stays low key.
73,"I'm tired of this place being empty when it should be packed out because it is SO GOOD! I live down the street and come here often. The drinks are great, the food is delicious and not overpriced, and the ambience is great."
