restaurant_name,number,review
Mí Casa Market,11,Great food and low prices and its extremely clean. The produce section is defiantly lacking in quality and quantity.
Mí Casa Market,12,As a gringa boomer avoiding HEB since it s hard to do social distancing there  MiCasa has most anything I could want or need without being so crowded that I can t be safe. Very clean  very helpful staff.
Mí Casa Market,13,UPDATE  THEY STILL CARRY EXPIRED FOOD  This is unacceptable  Date of visit 10 05 19. Zoom in to see. There is a drink  banged up  expired 4 months ago in JUNE 2019. Mind you  this bottle was front and center on the shelf  not something I rummaged for in the back. Be weary of buying any kind of produce  meat  etc from here. I would never.
Mí Casa Market,14,Half price beer on weekdays  less than  2 for  Shiner or Modelo pints. Two people can split a massive  8 quesadilla-- loaded with meat and cheese and pressed like a panini to lock everything in. It s already cut into two sandwich-sized halves. Or a  6 burrito and a  2 taco.   You order inside and can sit outside at a metal picnic table  next to a window where they ll deliver your foods  drinks  napkins  and delicious salsas. If you need more napkins  a no-go box  or a drink refill  simply tap or wait   this window
Mí Casa Market,15,Awesome place that reminds me of a smaller version of Fiesta.  Went there for lunch to their restaurant and had 2 delicious chicken tacos.  To be blunt  blows away Torchys or Taco Deli.  Plus so cheap. 2 tacos and a soda for  4
Mí Casa Market,16,IF U LIVE IN THE NEIGHBORHOOD  show them some love     I ONLY have to trek all the way to HEB once a month  now  if  that  much.......Just knowing that makes life pretty sweet    IF they don t carry things you re looking for   TELL  them. They will order it for u     They re  new . So it s up to u to tell them what u want      Mi Casa Market carries L O C A L products    Like.......El Milago tortilla chips from San Marcos  among other items    Mi Casa is GREAT FOR VEGANS   They have vegan cookies that do not have eggs OR milk   Happy Dance   They have tofu  amp  a plethora of awesome FRESH fruits  amp  vegetables.  IF  on rare occasions  u see a sub par produce item. JUST ask them if they can bring u a fresher selection. I am VERY VERY VERY pleased w  their produce. PLUS.....They have plant milk  even chocolate soy milk .......ALSO they have dried hibiscus leaves. I asked one of the sweet cashiers what they were for  she said  oh  u make hibiscus tea w  it   So I bought them  amp  looked up the recipe on the Internet. I now make awesome tea    high in vitamin C  amp  lowers blood pressure  naturally   I will say it again  I LOVE MI CASA       Happy Dance every time I go in there          I LOVE MI CASA       PLUS.......It s nice not having to treck ALL the way to HEB  because I live in Copperfield.     amp    they said they were getting their own tortilla making machine S O O N          I LOVE MI CASA          
Mí Casa Market,17,The market is clean and the food is very good.  I had the chicken enchiladas.  I also sampled the bakery and everything was fresh and tasty.  I definitely recommend it.
Mí Casa Market,18,I was greatly anticipating this place opening up since this corner of NE Austin is greatly lacking in convenient grocery stores.    This place is a like cross between a gas station convenience store and a meat market.    Prices are in line with a gas station  but the selection is greater.  So not really a regular grocery store  but a place you stop off on your way home from work when you really need milk and don t want to trek down Parmer to HEB.    I haven t tried anything from the bakery or meat market or the taqueria yet  but they do seem to have a little of everything.
Mí Casa Market,19,Cutest little Mexican grocery store on the corner.  Literally down the street from me so that s super awesome   And it s super clean    When you walk in you can smell the yummy aroma of the taqueria in the corner.  It s where we get our breakfast tacos from every other morning.  It is a bit priced but hell  you pay for convenience.
Mí Casa Market,20,This place is nice and clean and definitely not really an authentic market...it s the hipster version and very very pricey. Their meat selection wasn t that good either and the stuff I did buy I couldn t really eat they used the same red seasoning on it all and it wasn t good  they are very limited in all of their selections and do not make their tortillas in house. But it s pretty and shiny and new so don t be scared to come in here if a regular Mexican market intimidates - they all speak English.
Mí Casa Market,21,I mostly do quick stop shopping here. If it s 6 o clock on a weeknight and I don t feel like trying to find parking and wading through the crowds at HEB to get a pint of ice cream and some AAA batteries M  Casa Market is where I go.
Mí Casa Market,22,I finally went and adventured to this store. It s decently close to where I live which is nice. They have everything a normal grocery store would have. It s smaller inside then I thought it d be  but they aren t really missing anything per say. The prices seem very comparable to stores around here and the produce looks great  Store is clean and new still. The store probably isn t a place I ll shop for all of my groceries  but it s amazing for those quick things you may need.
Mí Casa Market,23,This market is my new favorite neighborhood spot   Great for grabbing eggs  milk  or an avocado or two without having to go all the way to the grocery store.  They also have a great selection of Mexican marinated meats  baked goods  cakes  and even have a little cafe inside where you can order soup  tacos  etc...  Just picked up my Dads birthday flan cake from here yesterday and it looks so pretty 
Mí Casa Market,24,Don t get the carnitas tacos. I bought several today and they contained shards of bones. Some of the pieces of bones were large  others were small and sharp. Not only is this gross  it s pretty dangerous and a choking hazard. I tried calling them multiple times to let them know about the bones - nobody answers the phone and the answering machine is full in each department.
Mí Casa Market,25,Great and clean Mexican market  You must make sure to grab a full size tub of their green salsa  So tasty. But buyer beware  it is spicy  It s in the fridge right in front of checkout area 
Mí Casa Market,26,This place sucks   I came in over the holidays and they never had tamales or pozole or literally anything else that is on their menu  Ok fine it was busy times maybe that was why I thought. I called earlier this week to ask if they have pozole  since it s been cold I ve been craving it  they said only on the weekend. I called several times today to check before wasting my time and coming here but no one answered the phone. So what did I do  Wasted my time and came over here. Did they have pozole  like their menu shows  Of course not. Did they have sopes  also listed on their menu  Again not surprisingly  of course not. Seriously take items off your menu if you are not ever going to have them   What s the point  To keep people disappointed I suppose.
Mí Casa Market,27,I recently visited this place for lunch.  The place seemed nice and clean. However  had a bad experience with their food. I ordered 2 carnitas tacos and 1 al pastor. The worst     It made me sick later that day. I don t think the cooks cooked it properly or maybe the meat was bad. Whatever it was  I will no longer order from there again   
Mí Casa Market,28,Routinely closes more than 10 minutes early and don t seem to care. Avoid.
Mí Casa Market,29,I drove my mobility scooter to thid store one day last week in sesrch of Neosporin. It was  3.99 on thr shelf  but the cashier did give me a bottle of water for my trek home. Some frozen products are reasonably priced. But i won t go there very oftrn. The dollar general nesr me on braker lane closed and not sure why. Tjat store had a lot of customers
Mí Casa Market,30,Great lunch  beautiful patio  awesome neighborhood spot. Loved the carnitas plate  amp  the pastor. My fav do a salsa in town.
Mí Casa Market,31,This is a fantastic addition to the neighborhood and I find myself stopping in at least once a week. The produce selection is amazing for such a small market  and everything is always fresh.  The butcher section is huge  with a wide variety and fresh and marinated meats and seafood. Fresh bakery  cooked foods and a walk in beer cooler too  I m so glad to have such a cool little store so close to home 
Mí Casa Market,32, MOLD in cupcakes  If I could give zero stars  I would.  Decided to check out Mi casa market for the first time.  Upon entering the worker just stared at us instead of saying  Welcome  or  Hi .  Anyways  I was amazed at all the fruit they had and the fact that they had a carnicer a and panader a as well.  We bought some fruit and a pack of cupcakes from the bakery.  The package of the cupcakes said best by 04 18 18. We were expecting guests from out of town so we wanted to make sure they had sweet bread in the morning with coffee. This morning as my sister bit the cupcake she noticed there was white mold all over the cupcakes.  We inspected the cupcakes and all of them were covered with white mold. I am absolutely disgusted and will definitely not shop there at all. Even though the prices are cheaper  I would rather pay a few extra cents knowing my groceries will be sanitary and not filled with mold.
Mí Casa Market,33,I refuse to buy in 2 Spanish stores close to my house because of their believe customers are stupid.  In Spanish or English we know when we are taking advantage of.  Is the second time I bought meat in Mi Casa Market  both times I got the wrong meat.  First time from 5 different kinds of meat I bought  2 were not what I ordered.  I didn t complained and given the benefit of the doubt I though was maybe a miscommunication since I bought a large amount of meat.  Today July first  I went to the store to get some Skirt Steak  the price last week was considered less  but I thought well is because of the holiday and I really need the meat.  I asked the guy if he didn t have available the already cleaned steak since they came full of fat and some tissues you have to take out.  The answer was  we did run out  this price is for the cleaned but you have to tell me the amount you want uncleaned   after we weight the meat we will clean for you .  He weighed the meat and just put apart and continued to served all the customers behind me first.  I understood because takes a lot of work to clean it.  I waited a long time  finally he gave the bag and I paid for  when I got home the meat was not cleaned the way I was promise.  One time I understand selling me inferior product for the price of the prime  the second I doubt      Austin have many Spanish Carnicer as opening and competing for customers.  Mi casa Market is new in my area to get already this well know  smart  practices.
El Pollo Rico,1,I was really craving some yard bird. I decided to head over to little Mexico on Lamar because of this place.  They grill on charcoal which is freaking awesome.  I was delighted to learn they have a drive thru. It s quirky as fuck because you have to drive in the opposite direction and make a U turn to get in the drive thru.   I ordered the 1B which is the grilled 1 2 chicken with two sides. I got charro beans and plantain and also asked for extra onion. I love onions so got to have them with grilled chicken.  The service was friendly and quick. They have a sign at the pick up window telling you to check your order before you leave for accuracy. I did just that.  My chicken for the most part was really tasty and good.  Some of the breast was overdone  but  overall a good score.  Love the charcoal flavor  My charros were just meh. I didn t finish them. Very plain and boring. The plantain was sweet and delicious as you d expect. They only gave me a little bit of onion with my chicken so I was damn glad that I ordered extra. They gave me the whole onion head   YES    I ate every damn bite    Kiss me anyone    Overall I really enjoyed my protein. Four stars may be a bit generous  but  this will be one of my go to places for grilled chicken. That is for sure.
El Pollo Rico,2,Skip to the third paragraph for the main points. I wanted to give this place the benefit of the doubt  but what happened after I ate was what changed my mind. I ordered the carne asada meal  probably my first mistake ordering this from a place with the word  pollo  in it  online and initially was told my order would take more than an hour. Called the place  confirmed with someone that I could get it in  30 min  cool. After waiting in line and bringing my food home  I opened to find that all of my sides were wrong. Ok  I d rather not have that happen but I guess I ll always check my order before I leave  fine. What really bothered me  - The carne asada was burned to the point that it was really hard to eat since I had to bite hard - My stomach hurt a lot and I ended up throwing up early the next morning  likely from food poisoning The chicken is hopefully better  and it seems like others have had a better experience  but after the stomach pain and puking I m not taking any chances 
El Pollo Rico,3,When I say this chicken is OFF DA HOOK...I mean just that. I ordered some from DoorDash a couple of times. The sides are tasty  the mexican rice was fluffy and full of flavor...the salsa was tangy and spicy...just the way I like it. The main star was that chicken...LAWD  it comes wrapped in butcher paper...greasy juicy...I dont know and dont care...100  flavor...tender and SEASONED...from the skin on down. I grab the rice...the beans the tortilla... a piece of chicken and salsa and in my mouth it goes  Just writing this review has me thinking about how good it is and may go pick myself up some tomorrow...Ill add pictures later.
El Pollo Rico,4,Ordered the whole chicken and sides  french fries and Spanish rice  The chicken was so flavorful  but dry unfortunately. I also hope they would at least fix the packaging. Napkins were just stuck in there like they were in a hurry. The green sauce was a bit bitter. Rice and salsa were good.
El Pollo Rico,5,Chicken was good and well seasoned. I think I could have been given a warmer piece. Mine was lukewarm. Sides were good. Staff was friendly. Plus is that they have a pandaria inside 
El Pollo Rico,6,The best chicken on planet earth. I ve been smelling the chicken at this place for 4 years due to me delivering across the street but often times I m unable to go grab some food. It always smells absolutely amazing but again no time. Well today was the day and the chicken is spectacular. It s seasoned and coated with an amazing wet dry rub that makes your mouth dance and water. I will now plan my trips around visiting this place because the chicken really is that good. No exaggeration needed. It s really just that good. Thank you for sharing such a wonderful meal with the city of Austin. If your passing by Austin on I-35 you won t be let down getting the food. And lastly they give you so much food.....I got a half of a whole chicken  beans  rice  corn tortillas and even a drink for  10 bucks even  I m telling everyone about this place  See ya many more times in the future.
El Pollo Rico,7,Man this place is amazing  I have to have it at least once a week  The medio pollo  is my favorite  It has never disappointed  Rice is always moist  beans always  flavorful and chicken  is always  made to perfection  Not to forget that green salsa and roasted onion   I could go on and on... I tried their torta and mini tAcos too... which were also good.... but nothing like that  medio pollo. I also appreciate that they  allow you to call in the order  and hAve a walk up window. I ve never been inside but through the wiNdow I noticed they haVe pan de dulce which makes my mouth water as I type this lol  Good stuff  This is definitely one of my  top Austin favorites   
El Pollo Rico,8,This place has become a favorite of mine over the past few years. They occasionally will be a little slow but their food makes up for it 
El Pollo Rico,9,Terrible customer service. Especially if you re not a Spanish speaker. The food isn t good as the location off Riverside. Don t recommend this location to anyone. Fried rice wasn t good. My taco was 80  onions and vegetables. barely any meat. mostly fatty or gristle part. gave this location two chances and each time was more disappointing than the last
El Pollo Rico,10,Gross  Food is not good. I would give it zero if I could. Do not eat here. My 3 yr old can make better food out of mud pies.
El Pollo Rico,11,I was very disappointed in the food I received. The refried beans were old  dry and had a strange smell and taste. Something rancid. The cashier asked me more than once if I wanted refried beans and I see why. The rest of the food was fine  but I m sure no one working there would ve paid for or eaten those old  rancid beans I got.
El Pollo Rico,12,I am from Houston and I m visiting. So I was looking for a good chicken place. Chicken and salsa were good but I feel like cheaped out on the rice and beans. When you order half a chicken they give you a small rice and beans but you would think that if you ordered a whole chicken  you would get a bigger portion of rice and beans.... well you don t. They actually charge you more for it.
El Pollo Rico,13,I love the burger and the chicken and beans are heavenly. Fast and friendly. Very busy    
El Pollo Rico,14,The location is questionable but turn your car alarm on and head in. Omg idk what they do to their chicken but its so good that I forget how scary the crack heads and hookers are and just brave it. Yum   Sometimes you get a live episode of cops happening right in front of you. Hot damn dinner and a show for under  20.00. Hahaha
El Pollo Rico,15,You have to compare this place to El Pollo Regio because they re basically identical. They re both windows that sell grilled chicken with rice and beans. They both charge  8.99 for a half-chicken combo and the both have delicious green sauce.  That being said  Regio is much better. In addition to being in a less shady location  Regio s beans are way  way better than Pollo Rico s. These beans were just sad-looking.  Additionally  some of my chicken pieces were a bit burned and  all-in-all  the chicken was just less appetizing here.  If you re in the market for this type of food  I d recommend going to Regio instead.
El Pollo Rico,16,Such great tasting chicken   every bite you take has great flavor. The rice and beans are delicious.  Several sauces are given to you to choose. I love the green one. The lemonade is awesome.
El Pollo Rico,17,I have not had chicken like this  since I was in my hometown. This reminds me a lot of Pollo Loco  but the good one from Mexico. It feels awesome knowing a restaurant like this is in Austin. If you like Pollo Loco or just pollo a la brasa I definitely recommends this place.
El Pollo Rico,18,They don t wash their hands so we left. Seen em walk straight back there after lolly gagging in the front then went straight to the grill. Just nasty 
El Pollo Rico,19,Don t be scared of this place. You may have to walk past a couple of crackheads  but it s absolutely worth it. Best grilled chicken on earth. Best beans on earth. And best salsa verde ever created. It s cheap as hell. You can eat an entire chicken  beans  rice  tortillas  and a grilled onion for like 10 bucks.  Most of the other stuff on the menu is not that memorable  but seriously  go get some chicken  
El Pollo Rico,20,Love the chicken at these places and the awesome green sauce  But beware the heat varies from spicy to blazing hot.
El Pollo Rico,21,El Pollo Rico  Formerly El Regio Pollo  is probably some of  if not the best grilled chicken in TEXAS. Yes  i said it. in ALL OF TEXAS. The standouts are the cebollas asados  onion wrapped in foil and grilled to yummy transclucent  slightly caramelized goodness.  The green sauce. The  salsa verde . You do not ask what is in the sauce  you just eat the sauce  with everything or by itself. If you re into heat like i am  roll up one of the fresh hot tortillas de maiz corn tortillas   that your order comes with  dip it in the green sauce and disfrute  that s my favorite part of the entire meal. El Pollo Rico is for you. My fiance wants them to cater our wedding  ha 
El Pollo Rico,22,Mst of the Pollo shops have great chicken ranging from 10-14 bucks for a whole chicken half a lime  an onion  and corn torillas with sals  rice  and beans.  This place has great chicken  other stuff is Blah.  Pick up only no inside dining.  It s hood  but it s good   Eat there  You should 
El Pollo Rico,23,Excellent chicken dishes   Tried the chicken quesadilla and was amazed that they used fresh chicken   Bet chicken quesadilla I ve ever had.  Good size.  My friend got the chicken and loved it   This is not the most enticing place to eat  but the food is outstanding 
Jasmine's Mexican Restaurant,1,Great inexpensive Mexican family fair.  Great for stopping by before heading to the airport or if you work in surrounding area.  Beats any food truck. Recommend for the money.
Jasmine's Mexican Restaurant,2,Its as good as Mexican food should get and the price is right too. They missed the mark on a couple things for me personally but after my third time here  4 stars it is. Will I be back  Yes. Did it wow me  no but good Mexican food doesn t wow you  it brings up great old memories.  This place hit the spot.
Jasmine's Mexican Restaurant,3,Very good breakfast  lunch and dinner. The service is very friendly and lunch is busy but there is no wait. The chicken tamales are fantastic and two was plenty for me as an adult. Don t forget to get some tres leches too 
Jasmine's Mexican Restaurant,4,Very friendly accommodating staff   Small and casual but has plenty of seating to cover the lunch rush.  Free chips and salsa  chips not salted and salsa little watery with a kick  .  Good food selection. Homemade tamales.  Take home tamales by the dozen or half dozen... call the day before and have them make special ordered by the dozen just for you    Small bar that seats about 6.  Looking forward to going back 
Jasmine's Mexican Restaurant,5,This is such a cute little place with the best food  Loved the queso  Loved the salsa  L O V E D my shrimp tacos. Thanks Vanessa you were great.
Jasmine's Mexican Restaurant,6,Hole in the wall restaurant near the airport.  Great pork taMale and lunch specials for  6.99.   The pork tamale was excellent. Haven t had one in a long time. We ordered a 2 chicken enchilada lunch which included rice and beans. Very good. The complimentary tortilla chips are very light and airy and served warm. Perfect with their salsa.   Glad we stopped by. And then fill up your gas next door at circle K gas for  2.19 per gallon   What another deal if you  live in San Francisco where it is currently  4 a gallon
Jasmine's Mexican Restaurant,7,Not sure if we freaked them out or what  my group of seven stopped in after work and not a lot went right from there. One of my coworkers can t eat almost anything so she asked if there was anything but cheese in the queso. She was told it was just cheese  then got it to find it full of things she can t have. We asked if they could just melt some cheese  she was ignored. We ordered margarita  with salt. Explained that the salt was our favorite part. Got sugar. The rest of us are our friends queso only to find it was filled with salt. There was no salt on the chips. I ordered a veggie taco on a flour tortilla and got a corn tortilla. They must have spilled a bottle of salt on the veggies.   Our waitress was very nice though.
Jasmine's Mexican Restaurant,8,I have been driving from San Antonio to this place to buy cauliflower tortillas the first few times I bought them they were great     The last 2 times I bought them they were bad they smell rotten I bought 6 dozen at almost  10 each dozen    I called to ask if they changed suppliers and they tell me no  I try to talk to the owner and I never get a call back  I will never go back . I will be reporting them since they are selling rotten Non cauliflower tortillas    No wonder I have been sick    I m allergic to gluten    I am very upset
Jasmine's Mexican Restaurant,9,Best restaurant  Looks bad on the outside  But omg the service  the drinks were so amazing  The service exceptional  The food was good  Exceptional service
Jasmine's Mexican Restaurant,10,Very good  solid  simple Mexican food. Building looks sketchy on the outside  but is very pleasant on the inside. Food was very tasty. Quite a few locals which bodes very well. Chorizo was exceptionally good. Tomatillo sauce very good with just the right kick.
Jasmine's Mexican Restaurant,11,Basic Tex Mex.  Convenient to the airport.  Took courage to get past the outside.  No regrets.
Jasmine's Mexican Restaurant,12,Found this little hole in the wall restaurant and I was very delicious the server was nice and polite and served us chips and salsa for breakfast at no extra charge  most place these days charge additional  I had the huevos rancheros and the sauce was delicious  sweet tea was good not too sweet  only thing that would have been better if the tortillas were homemade instead of store bought. All in all it was a satisfying experience.
Jasmine's Mexican Restaurant,13,Edible at best. Traveling to Texas  looking for some great Mexican...this is not it. Their queso is made from velveta  salsa from a jar you could buy at Walmart and chips are clearly from a bag. The restaurant itself is a hole in the wall  which I was excited about at first  but quickly disappointed with the slight musty smell.
Jasmine's Mexican Restaurant,14,Amazing tortillas and tacos just a short ride from the airport.  Gateway for long layovers.
Jasmine's Mexican Restaurant,15,Great service and wonderful hostess. The food was great and tasty. I wonder if her name is Jasmine 
Jasmine's Mexican Restaurant,16,Authentic Mexican food  the owners are very humble people and always welcoming  Definitely a  go to  choice for breakfast  lunch or dinner
Jasmine's Mexican Restaurant,17,Amazing mole. The Verde sauce is also great    Once I forgot my credit card there and they were still saving it for me 2 days later. There s a little bar with a tv up front and a large dining area. Their employees speak English and Spanish  for the most part.  I love that you can specify 2 or 3 enchiladas in corn or flower.  It s not organic corn so def GMO  that s why why flour is important. It s hard to resist their chips though because their hot salsas are so good  both green and red.  Convenient if you ve just landed at the airport or for uber or Ride Austin drivers   Or even to come from other parts of Austin.
Jasmine's Mexican Restaurant,18,Always a warm welcome and fresh deliciousness  Very reasonable on your wallet and easy access after a long flight from anywhere in the world. Make a right exiting the airport and 100 feet on your right. Slow down or you will pass it.  Try the tres leches cake PLEASE       review by WHITE CLOUD SERVICES
Jasmine's Mexican Restaurant,19,I discovered this little Mexican Cafe by chance. I ordered a breakfast taco with egg  cheese  spinach  and a slice of bacon. It was the most delicious taco I ever ate. Went back again today had them again. Same thing. Ah..maz..ing. Nice folks too. Very reasonably priced too. Can t wait to go again and try their enchiladas 
Jasmine's Mexican Restaurant,20,The best horchata ever  They actually make it themselves. Breakfast tacos on point too 
Beto's Restaurant & Bar,1,The food is delicious which deserves better than 4 stars. Cocktails are average with service being the real issue.   Mid to upscale food prices should come with good service..
Beto's Restaurant & Bar,2,I can totally see why this place has an average of 3 stars  I didn t wanna give them 2 cause I didn t want to mess up the average.  El pastor is definitely not el pastor. It was like a cross between carnitas and shredded cooked pork meat. In short It lacked flavor.  The refried beans had no flavor.  I added salt    amp  my other half was only served maybe 2 table spoons of it on his plate.  The rice was okay. Just ok.  I ordered the enchiladas poblanas and those were pretty good so if you find yourself coming here even after seeing the 3 stars order that    Plus  they have homemade corn tortillas  Yum
Beto's Restaurant & Bar,3,Great spot for breakfast tacos  I call and order ahead which makes picking them up before work a breeze  Everyone s so nice and they have a great deal for breakfast tacos too  Will try their other menu items someday 
Beto's Restaurant & Bar,4,This restaurant will add everything they can to you bill to pad it.  Only two tortillas with the big 18.00 fajita dinner.  Be careful when ordering the margaritas as the prices are not marked and it is very deceiving. I ordered a small frozen margarita and it was 15.99  -0  I asked the waitress before I started drinking it and she confirmed it was a small. The small size is only 6.99 but they wouldn t adjust it  saying she said it was a large and I drank it so it was very confusing that she would lie.  I asked to speak to a manger about it because it wasn t going anywhere with the waitress s that decided to not understand English and he wasn t a manger  he was out on a Saturday night  and wouldn t give the managers name.  A lot of padding on receipt  1.50 for two extra tortillas  .75 pepper on fajitas  didn t ask for it   3.50 soda  overpriced   15.99 margarita    The food was only fair TexMex considering the total bill amount for two adults and a child was  69.00. Before tip.  And we drove South from downtown area thinking the prices would be more reasonable.    Will not be returning to this adding extras and hidden prices restaurant.
